{'loss': 1.4956, 'grad_norm': 3.420191526412964, 'learning_rate': 9.8894783377542e-05, 'epoch': 0.06}
{'loss': 0.7286, 'grad_norm': 3.3969430923461914, 'learning_rate': 2.926613616268789e-05, 'epoch': 3.54}
{'loss': 0.7573, 'grad_norm': 1.556891679763794, 'learning_rate': 2.8160919540229884e-05, 'epoch': 3.59}
{'loss': 0.7299, 'grad_norm': 4.182849407196045, 'learning_rate': 2.7055702917771885e-05, 'epoch': 3.65}
{'loss': 0.7224, 'grad_norm': 3.373115301132202, 'learning_rate': 2.595048629531388e-05, 'epoch': 3.7}
{'loss': 0.7207, 'grad_norm': 3.5766708850860596, 'learning_rate': 2.484526967285588e-05, 'epoch': 3.76}
{'loss': 0.7478, 'grad_norm': 2.580127000808716, 'learning_rate': 2.374005305039788e-05, 'epoch': 3.81}
{'loss': 0.7219, 'grad_norm': 3.8610851764678955, 'learning_rate': 2.2634836427939877e-05, 'epoch': 3.87}
{'loss': 0.7455, 'grad_norm': 4.237030982971191, 'learning_rate': 2.1529619805481878e-05, 'epoch': 3.92}
{'loss': 0.7613, 'grad_norm': 3.065117359161377, 'learning_rate': 2.0424403183023873e-05, 'epoch': 3.98}
{'loss': 0.6254, 'grad_norm': 1.9579811096191406, 'learning_rate': 1.931918656056587e-05, 'epoch': 4.03}
{'loss': 0.582, 'grad_norm': 4.287424087524414, 'learning_rate': 1.821396993810787e-05, 'epoch': 4.09}
{'loss': 0.5756, 'grad_norm': 4.817305564880371, 'learning_rate': 1.7108753315649866e-05, 'epoch': 4.14}
{'loss': 0.6048, 'grad_norm': 5.060285568237305, 'learning_rate': 1.6003536693191868e-05, 'epoch': 4.2}
{'loss': 0.6128, 'grad_norm': 3.0928146839141846, 'learning_rate': 1.4898320070733865e-05, 'epoch': 4.26}
{'loss': 0.6039, 'grad_norm': 5.039078712463379, 'learning_rate': 1.3793103448275863e-05, 'epoch': 4.31}
{'loss': 0.6147, 'grad_norm': 1.708674669265747, 'learning_rate': 1.268788682581786e-05, 'epoch': 4.37}
{'loss': 0.6114, 'grad_norm': 4.8704071044921875, 'learning_rate': 1.1582670203359859e-05, 'epoch': 4.42}
{'loss': 0.6032, 'grad_norm': 4.581322193145752, 'learning_rate': 1.0477453580901857e-05, 'epoch': 4.48}
{'loss': 0.6025, 'grad_norm': 2.841559886932373, 'learning_rate': 9.372236958443857e-06, 'epoch': 4.53}
{'loss': 0.587, 'grad_norm': 4.773085117340088, 'learning_rate': 8.267020335985853e-06, 'epoch': 4.59}
{'loss': 0.5873, 'grad_norm': 2.262871742248535, 'learning_rate': 7.161803713527852e-06, 'epoch': 4.64}
{'loss': 0.6029, 'grad_norm': 5.4595136642456055, 'learning_rate': 6.05658709106985e-06, 'epoch': 4.7}
{'loss': 0.5885, 'grad_norm': 4.6481709480285645, 'learning_rate': 4.951370468611848e-06, 'epoch': 4.75}
{'loss': 0.5806, 'grad_norm': 2.5544450283050537, 'learning_rate': 3.846153846153847e-06, 'epoch': 4.81}
{'loss': 0.5926, 'grad_norm': 5.565185546875, 'learning_rate': 2.7409372236958447e-06, 'epoch': 4.86}
{'loss': 0.5988, 'grad_norm': 2.3103747367858887, 'learning_rate': 1.6357206012378428e-06, 'epoch': 4.92}
{'loss': 0.5754, 'grad_norm': 6.243134021759033, 'learning_rate': 5.305039787798409e-07, 'epoch': 4.97}
{'train_runtime': 1833.7413, 'train_samples_per_second': 24.671, 'train_steps_per_second': 24.671, 'train_loss': 0.9565295690777658, 'epoch': 5.0}
